0.00,90.00,90.00,0.000,0.000,0.000,0.000,0.000,0.000
0.02,90.00,90.00,0.000,0.000,0.000,0.000,0.000,0.000
0.03,90.00,90.00,0.000,0.000,0.000,0.000,0.000,0.000
0.05,90.00,90.00,0.000,0.000,0.000,0.000,0.000,0.000
0.08,90.00,90.00,0.000,0.000,0.000,0.000,0.000,0.000
0.09,90.00,90.00,0.000,0.000,0.000,0.000,0.000,0.000
0.11,90.00,90.00,0.000,0.000,0.000,0.000,0.000,0.000
0.12,90.00,90.00,0.000,0.000,0.000,0.000,0.000,0.000
0.16,90.00,90.00,-0.217,1.144,0.154,0.413,-0.574,7.255
0.17,90.00,90.00,-0.217,1.144,0.154,0.413,-0.573,7.282
0.19,90.00,90.00,-0.217,1.144,0.154,0.420,-0.579,7.267
0.20,90.00,90.00,-0.217,1.144,0.154,0.442,-0.567,7.281
0.22,90.00,90.00,-0.217,1.144,0.154,0.417,-0.570,7.275
0.23,90.00,90.00,-0.217,1.144,0.154,0.457,-0.584,7.274
0.25,90.00,90.00,-0.217,1.144,0.154,0.410,-0.557,7.260
0.26,90.00,90.00,-0.217,1.144,0.154,0.426,-0.566,7.269
0.28,90.00,90.00,-0.217,1.144,0.154,0.430,-0.573,7.266
0.29,90.00,90.00,-0.217,1.144,0.154,0.400,-0.560,7.269
0.31,90.00,90.00,-0.217,1.144,0.154,0.388,-0.566,7.270
0.33,90.00,90.00,-0.217,1.144,0.154,0.370,-0.557,7.266
0.34,90.00,90.00,-0.217,1.144,0.154,0.382,-0.566,7.261
0.36,90.00,90.00,-0.217,1.144,0.154,0.404,-0.565,7.243
0.37,90.00,90.00,-0.217,1.144,0.154,0.404,-0.565,7.243
0.39,90.00,90.00,-0.217,1.144,0.154,0.375,-0.559,7.266
0.40,90.00,90.00,-0.217,1.144,0.154,0.433,-0.570,7.276
0.42,90.00,90.00,-0.217,1.144,0.154,0.400,-0.560,7.266
0.43,90.00,90.00,-0.217,1.144,0.154,0.382,-0.565,7.245
0.45,90.00,90.00,-0.217,1.144,0.154,0.390,-0.563,7.246
0.46,90.00,90.00,-0.217,1.144,0.154,0.423,-0.565,7.260
0.48,90.00,90.00,-0.217,1.144,0.154,0.389,-0.561,7.243
0.50,90.00,90.00,-0.217,1.144,0.154,0.411,-0.569,7.269
0.51,90.00,90.00,-0.217,1.144,0.154,0.417,-0.566,7.274
0.53,90.00,90.00,-0.217,1.144,0.154,0.375,-0.569,7.281
0.54,90.00,90.00,-0.217,1.144,0.154,0.361,-0.552,7.289
0.56,90.00,90.00,-0.217,1.144,0.154,0.375,-0.563,7.272
0.57,90.00,90.00,-0.217,1.144,0.154,0.395,-0.562,7.275
0.59,90.00,90.00,-0.217,1.144,0.154,0.415,-0.564,7.285
0.60,90.00,90.00,-0.217,1.144,0.154,0.370,-0.558,7.260
0.62,90.00,90.00,-0.217,1.144,0.154,0.418,-0.564,7.252
0.63,90.00,90.00,-0.217,1.144,0.154,0.415,-0.562,7.260
0.65,90.00,90.00,-0.217,1.144,0.154,0.428,-0.573,7.249
0.66,90.00,90.00,-0.217,1.144,0.154,0.415,-0.564,7.245
0.68,90.00,90.00,-0.217,1.144,0.154,0.401,-0.562,7.235
0.70,90.00,90.00,-0.217,1.144,0.154,0.416,-0.567,7.240
0.71,90.00,90.00,-0.217,1.144,0.154,0.389,-0.564,7.238
0.73,90.00,90.00,-0.217,1.144,0.154,0.391,-0.564,7.241
0.74,90.00,90.00,-0.217,1.144,0.154,0.428,-0.567,7.244
0.76,90.00,90.00,-0.217,1.144,0.154,0.422,-0.565,7.245
0.77,90.00,90.00,-0.217,1.144,0.154,0.412,-0.567,7.251
0.79,90.00,90.00,-0.217,1.144,0.154,0.361,-0.555,7.223
0.80,90.00,90.00,-0.217,1.144,0.154,0.391,-0.558,7.241
0.82,90.00,90.00,-0.217,1.144,0.154,0.360,-0.554,7.231
0.85,90.00,90.00,-0.217,1.144,0.154,0.386,-0.564,7.239
0.87,90.00,90.00,-0.217,1.144,0.154,0.391,-0.558,7.249
0.88,90.00,90.00,-0.217,1.144,0.154,0.412,-0.571,7.239
0.90,90.00,90.00,-0.217,1.144,0.154,0.408,-0.569,7.248
0.91,90.00,90.00,-0.217,1.144,0.154,0.434,-0.574,7.244
0.93,90.00,90.00,-0.217,1.144,0.154,0.409,-0.564,7.263
0.94,90.00,90.00,-0.217,1.144,0.154,0.409,-0.564,7.263
